CustomerID,Age,Gender,Location,Tenure,Number_of_Orders,Average_Order_Value,Total_Spending,Last_Purchase_Days_Ago,Payment_Method,Discount_Used,Satisfaction_Score,App_Usage_Time,Customer_Support_Calls,Returned_Orders,Churn
CUST000025,31,Female,Kolkata,17,38,3219.69,112790.97,19,UPI,1,2,19.0,1,1,No
CUST000026,39,Female,Bangalore,23,59,1569.06,93429.23,23,UPI,1,7,107.9,1,4,No
CUST000027,24,Female,Ahmedabad,2,5,670.1,3056.78,34,UPI,0,7,39.9,3,0,No
CUST000028,42,Male,Mumbai,15,17,920.67,14905.46,21,Net Banking,0,8,6.4,5,0,No
CUST000029,30,Male,Hyderabad,7,15,1585.45,28204.14,76,Credit Card,0,4,83.7,0,0,No
CUST000030,34,Male,Ahmedabad,19,12,1546.77,19230.2,37,Net Banking,1,9,6.9,0,0,Yes
CUST000031,30,Male,Hyderabad,33,93,1438.98,147199.28,65,Credit Card,1,6,24.9,3,7,No
CUST000032,60,Female,Hyderabad,15,14,10988.06,160766.23,1,Debit Card,1,10,4.7,1,0,No
CUST000033,37,Male,Hyderabad,14,26,3650.69,93040.92,14,Credit Card,1,5,14.2,0,10,No
CUST000034,25,Male,Ahmedabad,3,4,919.03,4060.49,100,Credit Card,0,6,1.3,1,1,No
CUST000035,47,Male,Hyderabad,40,23,2036.23,47662.22,20,UPI,0,7,30.0,3,1,No
CUST000036,23,Male,Bangalore,4,2,4673.05,10037.04,48,Credit Card,1,4,23.8,1,0,No
CUST000037,40,Male,Delhi,3,4,2801.92,12398.3,47,Wallet,1,7,26.0,1,1,No
CUST000038,18,Male,Pune,35,29,4644.92,112461.68,1,Wallet,0,9,0.8,5,2,No
CUST000039,22,Male,Mumbai,84,231,1132.67,272674.59,35,Credit Card,1,8,180.0,3,43,No
CUST000040,40,Male,Mumbai,4,11,4300.71,38724.89,126,UPI,1,7,16.5,4,1,No
CUST000041,46,Male,Pune,14,23,2617.22,50997.75,71,Debit Card,1,8,66.5,1,1,No
CUST000042,40,Female,Bangalore,1,2,4722.49,7997.48,55,Net Banking,1,8,27.3,2,0,No
CUST000043,36,Male,Delhi,84,100,1840.22,186916.5,18,Credit Card,0,7,91.4,1,12,No
CUST000044,34,Male,Pune,25,66,1553.45,82725.41,48,UPI,1,3,19.3,0,11,Yes
CUST000045,20,Male,Kolkata,43,76,418.83,31185.19,30,UPI,1,6,21.7,2,6,No
CUST000046,29,Female,Mumbai,17,32,3160.53,104527.33,34,Net Banking,1,2,15.7,1,0,Yes
CUST000047,32,Male,Bangalore,29,36,1474.36,43878.51,34,Net Banking,1,5,97.9,4,5,No
CUST000048,50,Female,Mumbai,15,13,871.96,10574.63,16,Credit Card,1,6,11.8,3,1,Yes
CUST000049,42,Male,Pune,15,44,5042.55,215995.02,11,UPI,1,5,5.4,2,1,Yes
CUST000050,18,Male,Mumbai,23,57,3757.26,215677.34,7,Credit Card,1,10,5.8,2,5,Yes
CUST000051,41,Male,Bangalore,30,25,2675.22,61689.95,37,Debit Card,0,9,62.3,2,4,Yes
CUST000052,33,Male,Kolkata,50,140,1928.0,291238.51,9,Debit Card,1,9,13.6,4,38,Yes
CUST000053,29,Female,Chennai,29,15,4216.84,71593.22,143,Credit Card,1,4,8.5,0,0,No
CUST000054,45,Male,Pune,55,155,477.29,85994.28,30,Debit Card,0,10,17.3,0,45,Yes
CUST000055,50,Female,Mumbai,6,15,1599.19,22620.4,133,Credit Card,1,8,5.0,0,1,No
CUST000056,49,Female,Mumbai,7,9,2209.2,21848.89,41,Credit Card,1,8,1.2,1,0,No
CUST000057,27,Male,Bangalore,6,4,585.21,1986.56,12,UPI,0,8,3.2,3,0,No
CUST000058,34,Female,Hyderabad,2,5,1237.84,5120.79,2,Debit Card,1,5,28.0,0,0,No
CUST000059,41,Female,Mumbai,21,62,1620.75,87456.34,18,Net Banking,0,3,5.0,2,14,Yes
CUST000060,49,Male,Mumbai,11,23,669.06,17814.33,4,Debit Card,1,7,2.6,1,8,Yes
CUST000061,32,Male,Ahmedabad,22,21,4019.8,67902.77,38,Debit Card,0,9,96.3,6,4,Yes
CUST000062,35,Male,Delhi,17,21,1859.97,34120.03,58,Wallet,1,5,7.0,1,0,No
CUST000063,24,Male,Chennai,20,31,4729.59,132522.25,37,Net Banking,1,8,64.4,3,6,Yes
CUST000064,23,Male,Hyderabad,10,12,2490.81,26017.35,8,Credit Card,0,9,15.3,0,5,No
CUST000065,47,Female,Mumbai,5,9,4717.97,35154.49,59,UPI,0,5,19.5,1,0,No
CUST000066,54,Female,Chennai,27,69,1719.95,132488.84,58,UPI,1,5,37.7,5,1,No
CUST000067,37,Male,Delhi,29,65,1898.36,127166.94,26,Wallet,0,5,21.4,1,12,No
CUST000068,50,Male,Mumbai,64,111,589.29,52979.53,9,UPI,1,5,91.3,0,33,Yes
CUST000069,42,Male,Bangalore,7,18,2207.8,33137.52,2,Debit Card,0,4,97.6,1,1,No
CUST000070,30,Male,Pune,43,122,737.62,80916.87,29,Credit Card,1,3,8.3,1,6,No
CUST000071,42,Male,Ahmedabad,1,1,2368.11,2141.76,15,Credit Card,0,8,26.5,0,0,No
CUST000072,56,Male,Bangalore,1,1,2025.62,2233.12,95,Debit Card,1,7,96.8,1,0,No
CUST000073,37,Male,Kolkata,25,53,679.12,43058.59,41,Wallet,1,4,13.8,1,26,Yes
CUST000074,56,Male,Ahmedabad,4,10,2981.38,25534.34,19,Wallet,0,4,46.5,2,1,Yes
CUST000075,18,Male,Bangalore,7,14,662.85,10457.92,48,Debit Card,1,4,1.8,1,1,No
CUST000076,47,Male,Mumbai,48,50,1812.71,91796.97,1,Net Banking,1,8,0.2,1,17,No
CUST000077,39,Male,Delhi,24,43,2082.77,90024.4,32,Credit Card,0,8,5.2,1,7,No
CUST000078,34,Male,Bangalore,43,34,1238.03,34847.18,31,Debit Card,1,1,5.5,0,4,Yes
CUST000079,39,Male,Bangalore,14,25,7221.84,146394.24,6,Debit Card,1,6,20.2,0,4,No
CUST000080,18,Female,Hyderabad,32,31,1137.55,28876.2,3,UPI,1,10,47.0,1,3,No
CUST000081,35,Female,Hyderabad,8,8,1619.94,13633.25,69,Net Banking,0,4,14.5,1,0,No
CUST000082,42,Male,Chennai,4,7,735.41,5238.16,145,Debit Card,0,5,63.4,3,2,No
CUST000083,55,Male,Delhi,5,10,4731.6,54130.4,14,Debit Card,0,10,36.3,0,0,No
CUST000084,31,Male,Bangalore,61,56,1056.98,63124.47,98,Credit Card,1,4,3.2,0,7,No
CUST000085,28,Male,Bangalore,20,36,2434.58,71732.91,58,Credit Card,1,7,22.0,2,0,No
CUST000086,31,Male,Hyderabad,5,13,1285.18,16606.1,83,Net Banking,0,6,6.8,3,0,No
CUST000087,48,Male,Mumbai,5,5,2377.51,11131.93,7,Credit Card,1,8,102.2,1,0,No
CUST000088,41,Male,Delhi,25,35,1073.29,42850.59,1,UPI,1,8,8.7,4,6,Yes
CUST000089,31,Female,Delhi,25,41,1217.94,48193.1,9,Debit Card,1,9,19.3,1,8,Yes
CUST000090,44,Female,Chennai,35,32,928.52,30234.24,34,Credit Card,1,10,0.0,3,2,No
CUST000091,39,Female,Pune,36,30,3077.3,110335.34,11,Debit Card,0,7,15.0,0,4,No
CUST000092,49,Female,Pune,2,5,745.59,3545.4,22,Debit Card,0,9,104.5,0,0,No
CUST000093,29,Male,Hyderabad,3,7,1674.54,12827.45,24,Wallet,0,4,41.0,1,0,No
CUST000094,34,Female,Hyderabad,12,8,723.48,4913.43,67,UPI,0,7,18.5,3,0,Yes
CUST000095,33,Male,Delhi,45,36,1086.01,32260.98,28,Debit Card,1,10,16.5,4,0,Yes
CUST000096,20,Female,Kolkata,1,2,1919.25,4483.02,58,Wallet,0,9,8.5,1,0,Yes
CUST000097,41,Female,Mumbai,39,80,2951.29,237635.43,64,Net Banking,0,8,7.3,2,1,No
CUST000098,41,Male,Chennai,2,3,1720.31,5553.02,40,Debit Card,0,7,54.8,3,0,No
CUST000099,38,Female,Mumbai,35,68,2052.51,120159.37,1,Wallet,0,9,71.0,0,6,No
CUST000100,35,Male,Chennai,3,1,2385.72,1947.81,9,UPI,0,5,33.0,4,0,No
CUST000101,21,Male,Mumbai,65,75,1227.13,101437.98,34,UPI,1,7,9.1,4,8,No
CUST000102,32,Female,Hyderabad,25,55,1317.33,75396.89,12,Debit Card,1,9,79.3,0,0,Yes
CUST000103,33,Male,Mumbai,21,29,698.04,20282.81,127,UPI,0,3,4.3,1,0,Yes
CUST000104,28,Female,Mumbai,83,45,1507.24,65656.55,3,Debit Card,1,5,54.1,0,15,No
CUST000105,36,Male,Pune,27,76,3843.46,322136.06,37,Credit Card,1,8,13.0,2,8,No
CUST000106,42,Male,Delhi,18,49,1371.46,69016.83,33,Debit Card,1,7,48.0,0,3,No
CUST000107,60,Female,Kolkata,84,215,2497.45,579547.6,1,Debit Card,1,7,43.2,1,59,No
CUST000108,40,Female,Mumbai,42,32,4877.4,185409.61,79,UPI,1,3,12.3,1,6,No
CUST000109,41,Male,Chennai,46,32,1054.29,37580.44,9,Debit Card,1,7,35.2,0,0,No
CUST000110,37,Male,Kolkata,13,22,690.6,14168.3,58,Debit Card,1,2,15.7,2,1,No
CUST000111,18,Female,Bangalore,1,1,859.31,717.04,86,UPI,0,5,34.3,0,0,No
CUST000112,37,Female,Delhi,18,10,1668.97,15942.29,2,Debit Card,1,8,3.8,3,0,No
CUST000113,38,Male,Ahmedabad,21,19,2387.21,43979.41,70,Debit Card,0,6,84.5,0,0,No
CUST000114,67,Female,Bangalore,1,2,4379.26,7215.48,36,Credit Card,0,8,54.8,2,0,Yes
CUST000115,35,Female,Hyderabad,13,17,1218.45,21552.13,60,UPI,0,1,2.2,2,3,No
CUST000116,41,Male,Kolkata,10,21,1176.4,28202.81,36,Wallet,1,5,33.8,0,0,No
CUST000117,37,Male,Mumbai,11,15,716.33,9886.99,25,Credit Card,1,6,9.0,1,7,Yes
CUST000118,23,Male,Chennai,29,55,606.71,34356.69,4,UPI,1,7,5.4,1,4,No
CUST000119,51,Female,Hyderabad,36,76,1901.14,138598.65,105,Debit Card,1,4,4.0,4,4,Yes
CUST000120,47,Female,Bangalore,80,110,1502.42,177491.61,37,Net Banking,1,8,19.7,2,12,No
CUST000121,47,Female,Hyderabad,23,23,2173.15,44868.13,32,Credit Card,0,6,33.7,3,4,No
CUST000122,27,Female,Pune,40,35,5057.62,158029.19,30,Debit Card,1,10,3.0,0,4,No
CUST000123,54,Female,Delhi,8,7,1818.73,14068.1,73,Credit Card,1,9,16.1,1,1,No
CUST000124,21,Male,Delhi,3,6,1411.16,8407.37,35,Credit Card,0,5,38.0,0,0,No
CUST000125,45,Male,Mumbai,17,26,2121.48,45454.95,67,Debit Card,1,3,28.5,3,10,No
CUST000126,64,Male,Ahmedabad,15,14,4878.57,65786.81,24,Net Banking,1,7,153.1,2,2,No
CUST000127,26,Female,Mumbai,30,65,1184.28,83820.58,13,Credit Card,1,6,0.1,2,9,Yes
CUST000128,31,Female,Bangalore,11,8,1838.19,14224.11,5,UPI,1,8,14.4,1,0,No
CUST000129,39,Female,Chennai,5,9,2940.22,25588.41,135,UPI,1,3,1.5,0,1,No
CUST000130,31,Male,Mumbai,14,18,2937.28,52902.16,35,Credit Card,1,7,4.2,2,3,No
CUST000131,19,Female,Bangalore,17,17,4869.14,82516.96,17,Wallet,1,10,17.9,4,3,No
CUST000132,38,Male,Delhi,20,38,1422.43,51556.72,127,Credit Card,0,7,25.4,1,9,No
CUST000133,25,Female,Pune,20,49,1129.2,50734.04,45,Credit Card,1,2,15.3,0,11,Yes
CUST000134,43,Male,Pune,27,58,7016.09,440281.69,240,Wallet,1,5,44.4,3,1,Yes
CUST000135,26,Male,Bangalore,2,5,2174.53,11630.47,60,Debit Card,1,2,26.6,2,0,No
CUST000136,56,Male,Bangalore,20,43,1616.03,59977.04,74,Credit Card,1,8,11.0,1,4,No
CUST000137,28,Female,Mumbai,71,61,1873.26,125350.4,4,Credit Card,1,1,9.8,1,1,No
CUST000138,34,Female,Bangalore,30,17,2523.92,40148.86,60,Credit Card,1,5,60.4,0,1,Yes
CUST000139,47,Male,Bangalore,39,25,952.42,23467.53,32,UPI,1,6,19.9,6,10,No
CUST000140,23,Female,Bangalore,1,2,787.51,1585.14,10,UPI,0,10,135.3,0,0,No
CUST000141,40,Female,Bangalore,8,22,1749.94,41230.35,2,Debit Card,1,3,41.7,0,2,No
CUST000142,53,Female,Mumbai,13,8,1755.4,11592.34,2,Credit Card,1,4,94.0,1,1,No
CUST000143,18,Female,Mumbai,84,152,776.66,141126.66,187,Debit Card,1,10,3.0,0,5,Yes
CUST000144,40,Male,Bangalore,9,10,3719.57,37158.44,45,Wallet,1,5,100.5,1,1,No
CUST000145,41,Female,Bangalore,65,150,4703.58,666538.56,138,Credit Card,1,3,45.3,0,37,No
CUST000146,47,Male,Mumbai,6,4,1529.0,5802.79,25,Credit Card,1,4,41.6,1,0,No
CUST000147,23,Male,Hyderabad,19,42,513.47,22637.05,16,Debit Card,1,1,49.4,1,2,No
CUST000148,22,Female,Mumbai,4,11,456.89,4188.98,10,Net Banking,1,5,8.7,1,2,Yes
CUST000149,44,Male,Mumbai,3,3,3950.53,9900.04,41,Debit Card,1,4,21.8,2,0,No
CUST000150,41,Female,Chennai,1,1,1703.74,1961.72,16,UPI,0,8,4.8,2,0,Yes
CUST000151,41,Male,Mumbai,13,7,1690.48,11642.23,31,Credit Card,1,7,28.3,1,0,No
CUST000152,42,Male,Mumbai,11,24,1263.09,30898.51,81,Debit Card,0,4,18.9,1,0,Yes
CUST000153,29,Female,Mumbai,12,15,1845.92,30819.83,15,UPI,1,3,41.6,0,3,No
CUST000154,40,Female,Ahmedabad,2,4,1408.23,5828.83,32,Debit Card,1,4,10.3,2,0,No
CUST000155,41,Female,Mumbai,3,6,1588.37,10215.53,52,UPI,0,1,41.2,1,0,No
CUST000156,29,Male,Pune,37,77,1636.81,121194.73,4,Debit Card,1,3,26.8,1,8,No
CUST000157,60,Female,Pune,7,5,712.82,2926.31,64,UPI,1,7,3.6,0,2,Yes
CUST000158,43,Male,Pune,5,12,1653.14,16457.18,2,Net Banking,1,9,1.8,1,1,No
CUST000159,23,Male,Chennai,1,1,2038.4,2070.03,22,Credit Card,1,6,42.0,1,0,Yes
CUST000160,45,Female,Mumbai,53,45,2835.9,143162.24,96,Debit Card,1,4,20.2,5,5,Yes
CUST000161,26,Female,Pune,5,13,1598.71,24491.99,68,UPI,0,7,33.4,0,3,No
CUST000162,47,Male,Chennai,21,32,871.68,26267.79,50,UPI,1,8,73.3,4,3,No
CUST000163,51,Male,Chennai,11,32,728.79,25519.2,69,UPI,1,7,0.1,2,8,No
CUST000164,28,Female,Chennai,29,32,786.97,26716.93,12,Debit Card,1,1,0.8,0,0,Yes
CUST000165,49,Female,Mumbai,12,26,1032.42,24956.78,31,Credit Card,1,8,45.6,2,0,No
CUST000166,42,Male,Delhi,19,33,2478.66,95156.12,10,Debit Card,1,9,12.2,0,0,No
CUST000167,47,Female,Ahmedabad,59,30,854.38,30179.97,27,Debit Card,1,7,51.1,1,2,No
CUST000168,60,Male,Kolkata,14,38,2850.09,119679.43,58,UPI,0,10,18.1,1,0,Yes
CUST000169,35,Male,Bangalore,7,6,863.33,4756.15,41,UPI,0,9,13.5,2,1,No
CUST000170,28,Male,Ahmedabad,35,88,1572.8,131276.71,6,Debit Card,1,4,22.4,7,19,No
CUST000171,27,Male,Mumbai,80,61,7814.15,459418.11,25,Net Banking,1,7,47.4,0,5,No
CUST000172,28,Male,Delhi,44,95,2347.06,206979.15,1,Credit Card,0,2,41.1,1,17,Yes
CUST000173,37,Male,Chennai,64,148,2360.34,313896.84,1,Net Banking,0,8,7.4,0,56,No
CUST000174,42,Male,Chennai,25,33,2969.54,106661.35,29,Credit Card,0,4,10.0,2,1,No
CUST000175,41,Female,Pune,1,1,3728.15,3324.76,8,UPI,1,9,45.7,2,0,Yes
CUST000176,47,Female,Hyderabad,5,14,1675.93,19851.43,84,Debit Card,1,9,4.6,4,0,No
CUST000177,38,Male,Hyderabad,6,6,1416.55,9770.2,6,Debit Card,1,5,3.2,2,0,No
CUST000178,55,Male,Ahmedabad,6,4,486.16,2331.66,25,Wallet,1,7,128.3,0,0,No
CUST000179,34,Male,Chennai,7,4,698.27,3069.49,33,Debit Card,1,7,12.1,2,0,Yes
CUST000180,70,Female,Mumbai,3,5,2005.59,10123.19,79,Credit Card,1,7,37.0,1,0,Yes
CUST000181,45,Female,Chennai,17,50,4267.16,211362.06,48,UPI,0,7,26.0,1,4,No
CUST000182,27,Female,Pune,29,53,591.18,30473.49,12,Net Banking,1,8,52.6,0,10,No
CUST000183,25,Male,Kolkata,9,19,1117.18,19568.1,140,Wallet,0,6,10.9,3,4,Yes
CUST000184,43,Male,Bangalore,18,18,1027.46,18640.82,260,Debit Card,0,10,13.3,3,2,No
CUST000185,35,Male,Mumbai,1,1,1761.05,1502.63,50,Net Banking,0,1,41.6,2,0,No
CUST000186,46,Male,Mumbai,22,34,1553.64,45718.9,38,UPI,1,6,12.6,4,9,No
CUST000187,43,Female,Kolkata,28,49,5392.84,228101.51,200,Net Banking,0,9,28.7,0,3,Yes
CUST000188,37,Female,Ahmedabad,19,17,910.77,13555.9,18,UPI,1,4,8.4,3,4,Yes
CUST000189,27,Female,Delhi,56,157,2969.44,424432.9,39,Net Banking,1,7,50.7,2,18,No
CUST000190,19,Female,Hyderabad,52,99,1064.42,104745.96,8,Debit Card,0,10,6.7,1,10,Yes
CUST000191,32,Male,Bangalore,16,36,1100.93,42843.69,7,Debit Card,0,9,30.9,2,3,No
CUST000192,48,Female,Chennai,12,26,1143.03,26595.18,25,Credit Card,1,9,16.4,0,0,No
CUST000193,40,Female,Mumbai,4,2,1911.38,3684.99,26,UPI,1,5,27.6,4,0,No
CUST000194,23,Male,Ahmedabad,20,22,2893.56,60583.72,52,Credit Card,1,9,8.5,2,2,No
CUST000195,40,Female,Bangalore,2,4,703.84,3006.69,60,Credit Card,1,6,19.7,2,0,No
CUST000196,42,Female,Pune,27,24,1181.34,24207.38,61,UPI,1,5,1.4,1,2,No
CUST000197,27,Male,Chennai,1,1,1753.72,1551.01,80,Net Banking,1,8,23.0,5,0,Yes
CUST000198,39,Male,Kolkata,37,77,1629.09,118329.04,31,Net Banking,0,5,48.2,0,6,Yes
CUST000199,38,Male,Hyderabad,27,21,1899.2,44675.97,11,UPI,0,8,14.2,0,0,No
CUST000200,24,Male,Delhi,6,4,4965.18,22314.1,26,Wallet,0,10,4.8,0,0,No
CUST000201,42,Male,Bangalore,69,148,1367.59,171113.36,100,UPI,1,7,7.5,2,12,No
CUST000202,44,Female,Pune,3,7,2131.44,12189.34,52,Credit Card,0,8,21.1,1,0,No
CUST000203,50,Female,Delhi,60,141,2758.54,449579.83,102,Debit Card,0,5,1.5,2,56,No
CUST000204,50,Male,Pune,37,27,1301.86,33629.81,52,Net Banking,1,10,39.3,1,9,No
CUST000205,21,Male,Hyderabad,1,1,4088.63,3626.26,37,Wallet,1,10,33.3,1,0,No
CUST000206,26,Female,Mumbai,23,37,2640.76,83158.3,36,Net Banking,1,8,25.3,1,2,Yes
CUST000207,44,Male,Kolkata,78,65,1684.71,112403.61,59,Credit Card,1,7,10.9,1,2,No
CUST000208,44,Male,Chennai,8,16,2433.26,42346.61,46,UPI,0,8,2.0,3,1,No
CUST000209,44,Female,Kolkata,10,13,1169.36,14367.85,33,Debit Card,1,4,13.3,0,0,No
CUST000210,75,Male,Mumbai,4,6,1758.74,9763.87,122,Debit Card,0,3,4.5,0,0,Yes
CUST000211,44,Female,Kolkata,23,39,1371.73,62730.1,22,Credit Card,1,6,10.4,0,9,No
CUST000212,51,Male,Pune,19,34,679.87,25307.1,62,Debit Card,0,8,11.7,0,3,No
CUST000213,49,Female,Hyderabad,33,43,3489.57,155001.96,26,Debit Card,0,7,18.0,0,2,No
CUST000214,45,Female,Chennai,4,7,2412.16,15699.68,42,Debit Card,1,3,20.6,0,0,Yes
CUST000215,34,Female,Chennai,9,10,1983.74,20328.21,18,UPI,1,3,7.4,4,1,No
CUST000216,47,Female,Pune,34,95,5082.38,396355.22,111,Credit Card,1,8,48.3,4,12,Yes
CUST000217,28,Male,Ahmedabad,17,29,1716.15,53420.36,11,Debit Card,1,7,70.5,1,4,Yes
CUST000218,35,Male,Bangalore,5,3,604.8,1814.56,29,Debit Card,1,4,11.3,1,0,No
CUST000219,32,Male,Chennai,2,3,2991.5,8049.7,40,Debit Card,0,9,19.9,2,0,Yes
CUST000220,38,Female,Delhi,1,2,2914.45,5829.58,109,Credit Card,0,5,22.4,1,0,No
CUST000221,65,Female,Bangalore,4,5,3097.29,13125.12,33,Credit Card,1,4,10.2,1,2,No
CUST000222,18,Female,Mumbai,39,24,940.16,26421.55,65,Net Banking,1,4,4.9,1,3,Yes
CUST000223,46,Male,Mumbai,2,1,4946.9,4608.54,16,Credit Card,1,5,31.4,2,0,No
CUST000224,18,Male,Hyderabad,1,1,1387.14,1507.37,8,UPI,1,2,39.2,4,0,No
CUST000225,32,Male,Delhi,11,20,409.62,9617.81,2,UPI,1,6,13.0,2,0,No
CUST000226,51,Female,Kolkata,14,28,1462.8,48602.38,37,UPI,0,7,14.3,2,6,No
CUST000227,38,Male,Bangalore,34,80,1071.35,101095.44,37,Credit Card,1,3,21.7,1,18,No
CUST000228,25,Male,Pune,20,41,923.52,40009.08,8,Credit Card,1,6,4.2,2,2,Yes
CUST000229,29,Female,Bangalore,9,4,1696.83,7465.76,11,Credit Card,0,5,11.8,0,0,No
CUST000230,46,Male,Pune,10,17,2330.06,45760.79,4,Credit Card,1,5,27.5,1,1,Yes
CUST000231,29,Male,Kolkata,11,32,3076.09,103209.39,15,UPI,1,7,14.5,3,7,Yes
CUST000232,40,Male,Bangalore,6,12,1327.9,14500.3,9,Credit Card,1,8,44.3,1,1,Yes
CUST000233,38,Female,Ahmedabad,6,9,2046.5,16121.93,25,Credit Card,1,8,47.1,3,1,No
CUST000234,30,Female,Delhi,46,38,4768.08,156219.51,205,Debit Card,1,8,17.3,1,0,No
CUST000235,63,Male,Bangalore,79,105,1328.84,126006.74,35,Credit Card,1,6,50.1,1,70,No
CUST000236,45,Male,Bangalore,2,4,7539.79,34034.73,12,UPI,0,2,3.4,1,0,No
CUST000237,18,Female,Hyderabad,28,47,1232.31,57405.3,37,UPI,1,9,26.2,1,12,No
CUST000238,40,Female,Bangalore,1,2,786.05,1479.94,56,UPI,0,7,6.8,1,0,Yes
CUST000239,30,Male,Mumbai,6,3,836.67,2438.33,12,Debit Card,0,1,9.4,4,0,No
CUST000240,48,Female,Mumbai,20,29,1012.69,26923.78,7,Net Banking,0,6,19.7,1,8,No
CUST000241,28,Female,Kolkata,8,11,1391.28,14532.89,13,Net Banking,1,10,19.8,1,0,No
CUST000242,36,Female,Hyderabad,6,6,1060.01,5571.23,17,Net Banking,1,10,23.2,1,0,Yes
CUST000243,44,Female,Mumbai,3,5,1736.24,9992.83,21,Net Banking,1,6,52.4,1,1,No
CUST000244,48,Male,Kolkata,54,87,950.2,98939.25,42,Net Banking,1,6,33.4,0,32,No
CUST000245,23,Female,Hyderabad,4,10,1847.37,16264.78,274,UPI,1,8,9.6,2,0,Yes
CUST000246,33,Male,Pune,4,7,2181.82,15456.78,69,Credit Card,1,6,28.9,4,1,No
CUST000247,32,Female,Bangalore,6,12,2816.98,29688.79,7,UPI,1,6,34.7,3,0,No
CUST000248,30,Female,Pune,54,101,5528.74,578859.23,85,Debit Card,0,7,25.8,1,17,No
CUST000249,59,Female,Chennai,1,1,5055.99,5975.83,95,Credit Card,1,7,16.1,4,0,Yes
CUST000250,42,Male,Hyderabad,3,5,1312.6,6353.46,9,UPI,1,7,1.5,1,0,No
CUST000251,22,Female,Delhi,38,113,2201.03,231888.98,10,Debit Card,0,4,28.1,2,42,Yes
CUST000252,49,Female,Chennai,37,77,3806.97,244639.09,52,Debit Card,1,5,92.1,1,5,No
CUST000253,63,Male,Mumbai,6,13,1641.78,24773.24,13,Net Banking,1,7,6.5,0,2,Yes
CUST000254,50,Male,Mumbai,6,15,1307.63,19403.67,87,Credit Card,1,5,30.7,0,0,Yes
CUST000255,19,Male,Kolkata,38,19,757.87,13845.02,153,Credit Card,1,4,77.3,0,0,No
CUST000256,32,Female,Hyderabad,9,13,943.63,12016.66,49,Credit Card,0,9,60.8,3,0,Yes
CUST000257,53,Male,Pune,1,2,1882.63,3499.72,7,Credit Card,0,8,12.4,0,0,No
CUST000258,29,Male,Chennai,27,23,1342.33,25273.81,111,UPI,0,7,52.3,3,9,No
CUST000259,43,Male,Bangalore,35,101,4068.53,479598.44,24,Net Banking,0,5,52.8,0,14,No
CUST000260,47,Female,Pune,16,36,1804.45,57774.57,294,Wallet,1,6,15.1,1,3,Yes
CUST000261,26,Female,Mumbai,16,44,2626.39,109031.04,40,Credit Card,0,8,22.4,1,12,Yes
